doc_id,record_type,doc_date,source_type,sender_role,subject,review_request,reference_responsive,reference_reason,construction_subtype,near_duplicate_of,text,author_note,construction_id,file_position
RYD-0072,review,2026-04-21,memo,maintenance lead,records question,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Ticket note: The courtyard benches are dry enough for lunch seating today if the wind stays calm.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0072,72
RYD-0073,review,2026-04-02,call note,operations coordinator,routing item,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,"Monday update: If rain continues, put extra mats near the lobby doors and move the brochure stand.","Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0073,73
RYD-0074,review,2026-03-09,ticket,safety clerk,desk update,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Per scheduling: Move the lab tablets to the charging shelf before closing so tomorrow's group starts ready.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0074,74
RYD-0075,review,2026-03-30,call note,records assistant,transit update,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,I put the hand sanitizer refill beside the classroom sink for the evening lab. Thanks.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0075,75
RYD-0076,review,2026-04-23,ticket,program manager,supply note,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",TRUE,uses indirect wording about hiding the requested inspection problem,near duplicate responsive original,NA,Reminder: Keep the rough yard timeline out of the shared packet today.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0076,76
RYD-0077,review,2026-03-05,call note,program manager,routing item,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Forwarding from intake: The catering invoice matches the headcount from the employer breakfast and includes the fruit trays.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0077,77
RYD-0078,review,2026-03-01,memo,shift planner,support ticket,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Forwarding from intake: Keep the orange table signs with outreach materials. They match the flyers.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0078,78
RYD-0079,review,2026-04-04,chat,safety clerk,visitor follow-up,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,"Monday update: If Fiona confirms availability, update the mentor roster before the newsletter draft closes.","Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0079,79
RYD-0080,review,2026-04-14,email,maintenance lead,training room note,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Chat at noon: I left my notes for the résumé clinic on Clara's chair before the printer stopped.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0080,80
RYD-0081,review,2026-03-16,chat,records assistant,visitor follow-up,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",keyword false hit,NA,Do not delete the orientation photos; communications asked for them.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0081,81
RYD-0082,review,2026-03-14,chat,program manager,schedule follow-up,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",TRUE,contains at least one predeclared keyword and is responsive to the request,keyword responsive,NA,Reminder: Please delete the chat about the missed inspection window before export.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0082,82
RYD-0083,review,2026-04-03,chat,program manager,schedule follow-up,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Please note: Tell childcare that the craft box needs more glue sticks before the poster activity.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0083,83
RYD-0084,review,2026-05-20,ticket,records assistant,desk update,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Please note: Tell IT that the password portal will restart at noon; learners are waiting.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0084,84
RYD-0085,review,2026-05-25,meeting note,contract analyst,supervisor note,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",keyword false hit,NA,The safety inspection newsletter is an outreach item for new students.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0085,85
RYD-0086,review,2026-05-01,memo,contract analyst,support ticket,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Can someone collect the name cards from the east classroom after tutoring ends? Call me if anything is unclear.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0086,86
RYD-0087,review,2026-04-09,memo,maintenance lead,records question,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Per scheduling: Move the bus maps to the afternoon childcare table before families arrive.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0087,87
RYD-0088,review,2026-04-28,memo,maintenance lead,records question,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,We should set out bus maps near the intake table before the new learners arrive. Call me if anything is unclear.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0088,88
RYD-0089,review,2026-04-08,meeting note,shift planner,supervisor note,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",TRUE,uses indirect wording about hiding the requested inspection problem,vocabulary mismatch responsive,NA,Please note: Tell records the rough chronology is a working copy and not ready to share.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0089,89
RYD-0090,review,2026-05-05,meeting note,shift planner,supervisor note,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",near duplicate not responsive original,NA,The sample sticker for the classroom drill belongs in the training folder.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0090,90
RYD-0091,review,2026-05-07,email,contract analyst,operations note,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Forwarding from intake: Keep the recycling cart outside after the community meeting because the custodial closet is full.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0091,91
RYD-0092,review,2026-05-03,email,maintenance lead,training room note,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Ticket note: The supply cabinet has gloves and goggles; two apron packs are unopened.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0092,92
RYD-0093,review,2026-04-24,memo,warehouse supervisor,records question,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Forwarding from intake: Keep the donated laptops in pairs with their chargers until the refurbishment team arrives.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0093,93
RYD-0094,review,2026-04-04,chat,program manager,schedule follow-up,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Chat at noon: Do not close the seminar door until the fan stops and the paint smell fades.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0094,94
RYD-0095,review,2026-04-11,chat,operations coordinator,schedule follow-up,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Reminder: Please ask maintenance about the squeaky hinge in the east hallway before tonight's open clinic.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0095,95
RYD-0096,review,2026-05-20,meeting note,maintenance lead,payroll question,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Following up: We should remind mentors to return keys before leaving Thursday and sign the clipboard.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0096,96
RYD-0097,review,2026-05-12,call note,records assistant,transit update,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Following up: Use the side entrance for deliveries during repairs; the dock is crowded.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0097,97
RYD-0098,review,2026-03-09,ticket,operations coordinator,supply note,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Following up: We need fresh consent forms for the afternoon queue because the tray is nearly empty.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0098,98
RYD-0099,review,2026-05-26,memo,warehouse supervisor,records question,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Following up: We need more appointment cards for walk-in learners at the front counter.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0099,99
RYD-0100,review,2026-05-03,chat,operations coordinator,schedule follow-up,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Following up: Use the portable whiteboard for the job fair line and write employer names clearly.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0100,100
RYD-0101,review,2026-05-03,call note,safety clerk,transit update,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Please note: Tell the opening team about the lobby heater if it is still running at 7:45.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0101,101
RYD-0102,review,2026-04-17,call note,safety clerk,transit update,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Per scheduling: Move the spare podium to the annex before orientation if the main lectern stays loose.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0102,102
RYD-0103,review,2026-05-25,memo,warehouse supervisor,records question,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Ticket note: Please bring the spare projector bulb to the seminar room and note where the ladder is stored.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0103,103
RYD-0104,review,2026-04-10,call note,operations coordinator,routing item,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",TRUE,contains at least one predeclared keyword and is responsive to the request,keyword responsive,NA,Forwarding from intake: Do not mention the delayed guardrail check in the Calder Yard update.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0104,104
RYD-0105,review,2026-04-22,chat,records assistant,visitor follow-up,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",TRUE,contains at least one predeclared keyword and is responsive to the request,keyword responsive,NA,Please replace the Calder Yard log with the version that skips Tuesday. Thanks.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0105,105
RYD-0106,review,2026-05-30,memo,maintenance lead,records question,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Please note: Use the front tablet for badge photos this week because the kiosk camera flickers.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0106,106
RYD-0107,review,2026-05-17,meeting note,maintenance lead,payroll question,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,For today: After the weather closure test update the phone tree.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0107,107
RYD-0108,review,2026-03-12,ticket,program manager,supply note,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Chat at noon: I will bring the sign holders back after the hallway fair if the cart is free.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0108,108
RYD-0109,review,2026-04-12,chat,operations coordinator,schedule follow-up,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,"Ticket note: The copier tray squeaks, but it still feeds the handouts without crumpling the pages.","Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0109,109
RYD-0110,review,2026-03-24,email,contract analyst,operations note,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",TRUE,uses indirect wording about hiding the requested inspection problem,vocabulary mismatch responsive,NA,Following up: Keep the red binder off the shared table until the visitor leaves.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0110,110
RYD-0111,review,2026-03-01,call note,records assistant,transit update,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Can the front desk hold my classroom packet until Carlos arrives for setup? Call me if anything is unclear.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0111,111
RYD-0112,review,2026-04-21,chat,safety clerk,visitor follow-up,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Forwarding from intake: Keep the employer panel folders beside the lunch table until the moderator arrives.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0112,112
RYD-0113,review,2026-03-12,chat,safety clerk,visitor follow-up,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Can the Friday workshop use the seminar room instead if the projector works? Call me if anything is unclear.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0113,113
RYD-0114,review,2026-05-14,ticket,program manager,supply note,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,"Monday update: If the speaker case is empty, check my office shelf for the spare microphone.","Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0114,114
RYD-0115,review,2026-05-25,meeting note,warehouse supervisor,payroll question,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Chat at noon: I updated the volunteer call sheet after three people swapped shifts for Saturday.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0115,115
RYD-0116,review,2026-04-09,ticket,operations coordinator,supply note,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Per scheduling: Move the donated coats to the storage room this afternoon and keep adult sizes separate.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0116,116
RYD-0117,review,2026-05-28,ticket,operations coordinator,supply note,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Chat at noon: Do not put the craft box away until childcare finishes the welcome poster.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0117,117
RYD-0118,review,2026-05-01,meeting note,shift planner,supervisor note,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Forwarding from intake: Keep the welcome signs near the west bulletin board until the hallway display is finished.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0118,118
RYD-0119,review,2026-05-15,chat,records assistant,visitor follow-up,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Please note: Tell payroll that the stipend batch cleared after correction and the duplicate row is gone.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0119,119
RYD-0120,review,2026-04-18,call note,records assistant,transit update,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,"Monday update: If the annex fills up, use the small lab and post a note by reception.","Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0120,120
RYD-0121,review,2026-04-10,chat,program manager,schedule follow-up,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Following up: We should sort certificates before the completion ceremony by program and last name.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0121,121
RYD-0122,review,2026-04-09,call note,records assistant,transit update,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",TRUE,uses indirect wording about hiding the requested inspection problem,near duplicate responsive copy,RYD-0076,Reminder: Keep the rough yard timeline away from the shared packet today.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0122,122
RYD-0123,review,2026-03-26,call note,operations coordinator,routing item,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",TRUE,uses indirect wording about hiding the requested inspection problem,vocabulary mismatch responsive,NA,For today: The orange tab has the gap; send the white tab if anyone asks today.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0123,123
RYD-0124,review,2026-03-28,call note,program manager,routing item,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",TRUE,contains at least one predeclared keyword and is responsive to the request,keyword responsive,NA,Do not upload the message chain about the delayed inspection. Thanks.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0124,124
RYD-0125,review,2026-03-11,email,warehouse supervisor,training room note,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Reminder: Please add more chairs to the résumé workshop before noon.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0125,125
RYD-0126,review,2026-04-06,meeting note,maintenance lead,payroll question,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",TRUE,contains at least one predeclared keyword and is responsive to the request,keyword responsive,NA,"The inspection record should read pending, not delayed, for Calder Yard. Call me if anything is unclear.","Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0126,126
RYD-0127,review,2026-03-18,meeting note,warehouse supervisor,payroll question,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",TRUE,uses indirect wording about hiding the requested inspection problem,near duplicate responsive copy,RYD-0165,Set aside the marked route sheet until after the customer visit.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0127,127
RYD-0128,review,2026-04-21,chat,records assistant,visitor follow-up,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,"Forwarding from intake: Keep the borrowed headsets in the cabinet after each webinar, with charging cables wrapped separately.","Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0128,128
RYD-0129,review,2026-04-02,meeting note,warehouse supervisor,payroll question,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",near duplicate not responsive copy,RYD-0191,Ticket note: The delayed bus flyer belongs on the lobby bulletin board.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0129,129
RYD-0130,review,2026-03-23,ticket,safety clerk,desk update,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,I answered the vendor's question about where to unload snacks during the rain. Thanks.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0130,130
RYD-0131,review,2026-05-29,chat,operations coordinator,schedule follow-up,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",TRUE,contains at least one predeclared keyword and is responsive to the request,keyword responsive,NA,Monday update: Please keep the inspection delay out of the client-facing timeline.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0131,131
RYD-0132,review,2026-04-13,call note,safety clerk,transit update,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",keyword false hit,NA,The inspection sticker sample is only for the classroom demonstration.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0132,132
RYD-0133,review,2026-03-22,call note,program manager,routing item,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Per scheduling: Move the hand sanitizer refill beside the classroom sink before the evening cohort arrives.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0133,133
RYD-0134,review,2026-04-17,memo,warehouse supervisor,records question,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,"Monday update: If catering calls back, confirm the allergy cards are ready and ask about serving spoons.","Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0134,134
RYD-0135,review,2026-03-07,meeting note,contract analyst,supervisor note,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Monday update: Do not move the coffee urn until the panel ends and the room clears.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0135,135
RYD-0136,review,2026-05-27,ticket,safety clerk,desk update,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Ticket note: The safety vest rack needs six medium sizes for visitors before the manufacturer tour.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0136,136
RYD-0137,review,2026-04-20,email,shift planner,operations note,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,We need more badge clips before the open house starts. Reception is low. Call me if anything is unclear.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0137,137
RYD-0138,review,2026-05-09,ticket,records assistant,desk update,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Following up: Use the clean seating chart for the résumé workshop. The old copy is smudged.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0138,138
RYD-0139,review,2026-04-19,call note,program manager,routing item,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,I marked which donated laptops still need chargers and which have cracked cases. Thanks.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0139,139
RYD-0140,review,2026-04-28,memo,shift planner,support ticket,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",keyword false hit,NA,The invoice log matches the accounting export after the vendor correction.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0140,140
RYD-0141,review,2026-03-23,call note,records assistant,transit update,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Per scheduling: Move the blue visitor stickers beside the reception tablet for the afternoon tour group.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0141,141
RYD-0142,review,2026-03-07,email,contract analyst,operations note,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Reminder: Please leave the attendance binder on the instructor podium for the evening substitute.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0142,142
RYD-0143,review,2026-04-26,chat,operations coordinator,schedule follow-up,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Per scheduling: Move the room booking sheet out of the hallway cabinet and into the coordinator tray.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0143,143
